Column1,,,,,Column13,,Column14,Column2,Column22,Column3,Column32,Column4,Column42,Column5,Column52,Column6,Column62,Column8,Column82,Column7,Column72,Column9,Column92,Column10,Column102,Column11,Column112,Column12,Column102,,
,,,,,,,,,,,,,,,,,,,,*Look into finding total team crosses in season,,*Total crosses by player in a season,,,*Usage Rate,,,,,,
First Name,Last Name,Position,Age,Current Club,League,Modifier,Clubs Represented,Starts,Score,Minutes,Score,Gls+Ast+PK,Score,YC+(RC*5/90,Score,Pass%,Score,Pass into Final 1/3,Score,Successful Cross Into Box,Score,Tackle % (vs dribbles),Score,Pressure Success %,Score,Tkl+Int+Blk+Clr,Score,Errors,Score,Total Score,Weighted Score
John,Nelson,LB,22,FC Dallas,MLS,1,FC Dallas,4,11.76,455,-27.05,0,0,0.39,1.96,81.2,76.13,20,18.4,4,40,38.1,70.56,21.4,21.89,42,-16.5,0,100,27.01,27.01
Henry,Wingo,RB,25,Molde,USL,0.9,Molde/Tacoma/Seattle II,10,29.41,828,-8.54,1.8,27.27,0.12,77.59,69.4,22.97,2.1,1.93,0.6,6,30,55.56,22,24.88,6.6,-34.2,0,100,27.53,24.78
Zico,Bailey,RB,20,FC Cincinnati,MLS,1,FC Cincinnati,3,8.82,294,-35.04,0,0,0.31,25.49,72.6,37.57,10,9.2,1,10,40,74.07,28.6,57.71,31,-22,0,100,24.17,24.17
Alex,DeJohn,RB,29,Orlando City FC,Allvenskan,0.95,Dalkurd/Orlando,9,26.47,734,-13.2,0.7,10.15,0.11,80.39,65.3,4.5,4.7,4.32,1,9.5,31.6,58.52,17.3,1.49,48.5,-13.25,0,100,24.45,23.22
Samuel,Junqua,LB,24,Houston Dynamo,USL,0.9,Houston/RGV Toros,6,17.65,505,-24.57,0.6,9.09,0.13,74.51,65.1,3.6,5,4.6,0,0,45,83.33,25.1,40.3,16.2,-29.4,0,100,25.37,22.84
Matt,Polster,RB,27,New England Revolution,Scottish Premiership,1,Chicago Fire/Rangers,2,5.88,271,-36.18,0,0,0.26,37.54,83.8,87.84,1,0.92,1,10,0,0,27.3,51.24,6,-34.5,0,100,20.25,20.25
Patrick,Seagrist,LB,22,New York Red Bulls,MLS,1,New York Red Bulls,3,8.82,245,-37.47,0,0,0.37,8.12,64.3,0,10,9.2,0,0,57.1,105.74,27,49.75,21,-27,0,100,19.74,19.74
Matthew,Olosunde,RB,22,Rotherham United,League One,0.95,Manchester U. U23/Eng3,19,55.88,1714,35.43,2,30.3,0.21,52.94,79.1,66.67,0,0,0,0,0,0,0,-84.58,28.5,-23.25,2,0,12.13,11.52
Andre,Reynolds II,LB,19,Chicago Fire,MLS,1,Chicago Fire,0,0,17,-48.78,0,0,0.39,1.96,50,-64.41,0,0,0,0,0,0,25,39.8,3,-36,0,100,-0.68,-0.68
Chris,Gloster,LB,20,PSV Eindhoven U23,Eerste Divisie,0.85,Hannover 96/Jong PSV,11,32.35,958,-2.08,0.6,9.09,0.06,93.28,0,-289.64,0,0,20,200,0,0,0,-84.58,39,-18,2,0,-5.42,-4.87
Joe,Scally,RB,17,New York City FC,MLS,1,NYCFC,1,2.94,69,-46.2,0,0,1.28,-247.9,82.6,82.43,3,2.76,1,10,0,0,15.4,-7.96,5,-35,0,100,-12.63,-12.63
Travian,Sousa,LB,19,Hamburger SV U19,Bundesliga U-19,0.85,Hamburger SV U19,14,41.18,1247,12.26,0.9,12.88,0.17,64.71,0,-289.64,0,0,0,0,0,0,0,-84.58,0,-37.5,2,0,-25.52,-22.97
John,Tolkin,LB,18,New York Red Bulls,USL,0.9,New York Red Bulls II,9,26.47,807,-9.58,2,30.3,0.37,8.4,0,-289.64,0,0,0,0,0,0,0,-84.58,0,-37.5,2,0,-32.37,-29.14
Marlon,Fossey,RB,22,Shrewsbury Town,English-Championship U-23,0.9,Fulham U23,3,8.82,237,-37.87,0,0,0.39,3.08,0,-289.64,0,0,0,0,0,0,0,-84.58,0,-37.5,2,0,-39.79,-35.81
